t,s,d,j,i,valor
37,4,6,1,38,1.0
37,4,6,2,10,1.0
37,4,7,1,10,1.0
37,4,7,2,38,1.0
37,4,8,1,38,1.0
37,4,8,2,10,1.0
37,4,9,1,38,1.0
37,4,9,2,38,1.0
37,4,13,1,38,1.0
37,4,13,2,38,1.0
37,4,14,1,38,1.0
37,4,14,2,38,1.0
37,4,15,1,38,1.0
37,4,15,2,38,1.0
37,4,16,1,38,1.0
37,4,16,2,38,1.0
37,4,19,1,10,1.0
37,4,19,2,38,1.0
37,4,20,1,10,1.0
37,4,20,2,38,1.0
37,4,21,1,10,1.0
37,4,21,2,38,1.0
37,4,22,1,10,1.0
37,4,22,2,38,1.0
37,4,23,1,10,1.0
37,4,23,2,10,1.0
37,4,26,1,38,1.0
37,4,26,2,10,1.0
37,4,27,1,20,1.0
37,4,27,2,38,1.0
37,4,28,1,38,1.0
37,4,28,2,10,1.0
37,4,29,1,38,1.0
37,4,29,2,38,1.0
37,4,30,1,38,1.0
37,4,30,2,10,1.0
38,4,5,1,10,1.0
38,4,5,2,38,1.0
38,4,6,1,10,1.0
38,4,6,2,38,1.0
38,4,7,1,38,1.0
38,4,7,2,10,1.0
38,4,8,1,10,1.0
38,4,8,2,38,1.0
38,4,9,1,10,1.0
38,4,9,2,10,1.0
38,4,13,1,20,1.0
38,4,13,2,20,1.0
38,4,14,1,20,1.0
38,4,14,2,20,1.0
38,4,15,1,20,1.0
38,4,15,2,20,1.0
38,4,16,1,20,1.0
38,4,16,2,20,1.0
38,4,19,1,38,1.0
38,4,19,2,10,1.0
38,4,20,1,38,1.0
38,4,20,2,10,1.0
38,4,21,1,38,1.0
38,4,21,2,20,1.0
38,4,22,1,38,1.0
38,4,22,2,10,1.0
38,4,23,1,38,1.0
38,4,23,2,38,1.0
38,4,26,1,10,1.0
38,4,26,2,38,1.0
38,4,27,1,38,1.0
38,4,27,2,10,1.0
38,4,28,1,10,1.0
38,4,28,2,38,1.0
38,4,29,1,10,1.0
38,4,29,2,10,1.0
38,4,30,1,10,1.0
38,4,30,2,38,1.0
39,4,26,1,6,1.0
39,4,26,2,6,1.0
39,4,27,1,11,1.0
39,4,27,2,6,1.0
39,4,28,1,6,1.0
39,4,28,2,6,1.0
39,4,29,1,6,1.0
39,4,29,2,6,1.0
39,4,30,1,6,1.0
39,4,30,2,6,1.0
41,2,19,2,20,1.0
41,2,26,2,20,1.0
42,1,5,1,32,1.0
42,1,5,2,32,1.0
42,1,6,1,32,1.0
42,1,10,1,26,1.0
42,2,6,2,10,1.0
42,2,7,1,10,1.0
42,2,8,1,10,1.0
42,2,8,2,10,1.0
42,2,13,2,10,1.0
42,2,14,2,10,1.0
42,2,20,1,10,1.0
42,2,21,1,10,1.0
42,2,21,2,10,1.0
42,2,22,2,10,1.0
42,2,27,1,10,1.0
42,3,9,1,10,1.0
